field,ra,dec,glon,glat
vphas_0043,105.882352941,-0.9677419355,215.1730046638568,2.248014476654847
vphas_0044,106.844919786,0.9677419355,213.88862093513498,3.988104000446684
vphas_0045,106.844919786,-0.9677419355,215.61364731488965,3.103895036289038
vphas_0046,107.807486631,0.9677419355,214.32890291371157,4.84459421969144
vphas_0047,107.807486631,-0.9677419355,216.0552477040793,3.959466990462248
vphas_0048,108.770053476,-0.9677419355,216.49800531438237,4.8146787051264
vphas_0049,277.219251337,-0.9677419355,29.49032706291904,4.574520717777187
vphas_0050,278.181818182,0.9677419355,31.65868520471251,4.604051787037128
vphas_0051,278.181818182,-0.9677419355,29.93273942052382,3.719202580987349
vphas_0052,279.144385027,0.9677419355,32.09875795322248,3.747525597418936
vphas_0053,279.144385027,-0.9677419355,30.37405073174388,2.863538757572839
vphas_0054,280.106951872,0.9677419355,32.53821297118216,2.890903783539032
vphas_0055,280.106951872,-0.9677419355,30.81446008839472,2.007580745746762
vphas_0056,281.069518717,0.9677419355,32.97724806269856,2.034236830946173
vphas_0057,281.069518717,-0.9677419355,31.25416538778637,1.151379617602148
vphas_0058,282.032085561,0.9677419355,33.41606016988315,1.177575063981018
vphas_0059,282.032085561,-0.9677419355,31.6933636397782,0.294986108920156
vphas_0060,282.994652406,0.9677419355,33.85484568279553,0.320968729665037
vphas_0061,282.994652406,-0.9677419355,32.13225127431973,-0.561549296400455
vphas_0062,283.957219251,0.9677419355,34.29380074280857,-0.535531909923889
vphas_0063,283.957219251,-0.9677419355,32.57102444343689,-1.418176273658529
vphas_0064,284.919786096,0.9677419355,34.7331215493307,-1.391876494307052
vphas_0065,284.919786096,-0.9677419355,33.00987932759305,-2.274844573921961
vphas_0066,285.882352941,0.9677419355,35.17300466385681,-2.248014476654864
vphas_0067,285.882352941,-0.9677419355,33.44901244038652,-3.131503936225275
vphas_0068,286.844919786,0.9677419355,35.61364731488967,-3.103895036289041
vphas_0069,286.844919786,-0.9677419355,33.88862093513495,-3.988104000446654
vphas_0070,287.807486631,0.9677419355,36.05524770407929,-3.959466990462209
vphas_0071,287.807486631,-0.9677419355,34.32890291371157,-4.844594219691445
vphas_0072,288.770053476,0.9677419355,36.49800531438233,-4.814678705126349
vphas_0073,98.181818182,1.935483871,209.07111856787347,-3.275468001548834
vphas_0074,98.181818182,-1.935483871,212.5232150895693,-5.044963554682062
vphas_0075,99.144385027,1.935483871,209.51274736430884,-2.420525223618936
vphas_0076,99.144385027,-1.935483871,212.96236652442101,-4.188297310390274
vphas_0077,100.106951872,1.935483871,209.95333386026837,-1.565189082874335
vphas_0078,100.106951872,-1.935483871,213.40104416550918,-3.331634538761131
vphas_0079,101.069518717,1.935483871,210.39307553201735,-0.709510953436195
